customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,MonthlyCharges,TotalCharges,spend_bucket,Churn
7590-VHVEG,FEMALE,0,YES,NO,1,0-1 year,29.85,29.85,Low,NO
5575-GNVDE,MALE,0,NO,NO,34,1-3 years,56.95,1889.5,Medium,NO
3668-QPYBK,MALE,0,NO,NO,2,0-1 year,53.85,108.15,Medium,YES
7795-CFOCW,MALE,0,NO,NO,45,3+ years,42.3,1840.75,Medium,NO
9237-HQITU,FEMALE,0,NO,NO,2,0-1 year,70.7,151.65,High,YES
9305-CDSKC,FEMALE,0,NO,NO,8,0-1 year,99.65,820.5,High,YES
1452-KIOVK,MALE,0,NO,YES,22,1-3 years,89.1,1949.4,High,NO
6713-OKOMC,FEMALE,0,NO,NO,10,0-1 year,29.75,301.9,Low,NO
7892-POOKP,FEMALE,0,YES,NO,28,1-3 years,104.8,3046.05,High,YES
6388-TABGU,MALE,0,NO,YES,62,3+ years,56.15,3487.95,Medium,NO
9763-GRSKD,MALE,0,YES,YES,13,1-3 years,49.95,587.45,Medium,NO
7469-LKBCI,MALE,0,NO,NO,16,1-3 years,18.95,326.8,Low,NO
8091-TTVAX,MALE,0,YES,NO,58,3+ years,100.35,5681.1,High,NO
0280-XJGEX,MALE,0,NO,NO,49,3+ years,103.7,5036.3,High,YES
5129-JLPIS,MALE,0,NO,NO,25,1-3 years,105.5,2686.05,High,NO
3655-SNQYZ,FEMALE,0,YES,YES,69,3+ years,113.25,7895.15,High,NO
8191-XWSZG,FEMALE,0,NO,NO,52,3+ years,20.65,1022.95,Low,NO
9959-WOFKT,MALE,0,NO,YES,71,3+ years,106.7,7382.25,High,NO
4190-MFLUW,FEMALE,0,YES,YES,10,0-1 year,55.2,528.35,Medium,YES
4183-MYFRB,FEMALE,0,NO,NO,21,1-3 years,90.05,1862.9,High,NO
8779-QRDMV,MALE,1,NO,NO,1,0-1 year,39.65,39.65,Medium,YES
1680-VDCWW,MALE,0,YES,NO,12,1-3 years,19.8,202.25,Low,NO
1066-JKSGK,MALE,0,NO,NO,1,0-1 year,20.15,20.15,Low,YES
3638-WEABW,FEMALE,0,YES,NO,58,3+ years,59.9,3505.1,Medium,NO
6322-HRPFA,MALE,0,YES,YES,49,3+ years,59.6,2970.3,Medium,NO
6865-JZNKO,FEMALE,0,NO,NO,30,1-3 years,55.3,1530.6,Medium,NO
6467-CHFZW,MALE,0,YES,YES,47,3+ years,99.35,4749.15,High,YES
8665-UTDHZ,MALE,0,YES,YES,1,0-1 year,30.2,30.2,Medium,YES
5248-YGIJN,MALE,0,YES,NO,72,3+ years,90.25,6369.45,High,NO
8773-HHUOZ,FEMALE,0,NO,YES,17,1-3 years,64.7,1093.1,Medium,YES
3841-NFECX,FEMALE,1,YES,NO,71,3+ years,96.35,6766.95,High,NO
4929-XIHVW,MALE,1,YES,NO,2,0-1 year,95.5,181.65,High,NO
6827-IEAUQ,FEMALE,0,YES,YES,27,1-3 years,66.15,1874.45,Medium,NO
7310-EGVHZ,MALE,0,NO,NO,1,0-1 year,20.2,20.2,Low,NO
3413-BMNZE,MALE,1,NO,NO,1,0-1 year,45.25,45.25,Medium,NO
6234-RAAPL,FEMALE,0,YES,YES,72,3+ years,99.9,7251.7,High,NO
6047-YHPVI,MALE,0,NO,NO,5,0-1 year,69.7,316.9,Medium,YES
6572-ADKRS,FEMALE,0,NO,NO,46,3+ years,74.8,3548.3,High,NO
5380-WJKOV,MALE,0,NO,NO,34,1-3 years,106.35,3549.25,High,YES
8168-UQWWF,FEMALE,0,NO,NO,11,0-1 year,97.85,1105.4,High,YES
8865-TNMNX,MALE,0,YES,YES,10,0-1 year,49.55,475.7,Medium,NO
9489-DEDVP,FEMALE,0,YES,YES,70,3+ years,69.2,4872.35,Medium,NO
9867-JCZSP,FEMALE,0,YES,YES,17,1-3 years,20.75,418.25,Low,NO
4671-VJLCL,FEMALE,0,NO,NO,63,3+ years,79.85,4861.45,High,NO
4080-IIARD,FEMALE,0,YES,NO,13,1-3 years,76.2,981.45,High,NO
3714-NTNFO,FEMALE,0,NO,NO,49,3+ years,84.5,3906.7,High,NO
5948-UJZLF,MALE,0,NO,NO,2,0-1 year,49.25,97.0,Medium,NO
7760-OYPDY,FEMALE,0,NO,NO,2,0-1 year,80.65,144.15,High,YES
7639-LIAYI,MALE,0,NO,NO,52,3+ years,79.75,4217.8,High,NO
2954-PIBKO,FEMALE,0,YES,YES,69,3+ years,64.15,4254.1,Medium,NO
8012-SOUDQ,FEMALE,1,NO,NO,43,3+ years,90.25,3838.75,High,NO
9420-LOJKX,FEMALE,0,NO,NO,15,1-3 years,99.1,1426.4,High,YES
6575-SUVOI,FEMALE,1,YES,NO,25,1-3 years,69.5,1752.65,Medium,NO
7495-OOKFY,FEMALE,1,YES,NO,8,0-1 year,80.65,633.3,High,YES
4667-QONEA,FEMALE,1,YES,YES,60,3+ years,74.85,4456.35,High,NO
1658-BYGOY,MALE,1,NO,NO,18,1-3 years,95.45,1752.55,High,YES
8769-KKTPH,FEMALE,0,YES,YES,63,3+ years,99.65,6311.2,High,NO
5067-XJQFU,MALE,1,YES,YES,66,3+ years,108.45,7076.35,High,NO
3957-SQXML,FEMALE,0,YES,YES,34,1-3 years,24.95,894.3,Low,NO
5954-BDFSG,FEMALE,0,NO,NO,72,3+ years,107.5,7853.7,High,NO
0434-CSFON,FEMALE,0,YES,NO,47,3+ years,100.5,4707.1,High,NO
1215-FIGMP,MALE,0,NO,NO,60,3+ years,89.9,5450.7,High,NO
0526-SXDJP,MALE,0,YES,NO,72,3+ years,42.1,2962.0,Medium,NO
0557-ASKVU,FEMALE,0,YES,YES,18,1-3 years,54.4,957.1,Medium,NO
5698-BQJOH,FEMALE,0,NO,NO,9,0-1 year,94.4,857.25,High,YES
5122-CYFXA,FEMALE,0,NO,NO,3,0-1 year,75.3,244.1,High,NO
8627-ZYGSZ,MALE,0,YES,NO,47,3+ years,78.9,3650.35,High,NO
3410-YOQBQ,FEMALE,0,NO,NO,31,1-3 years,79.2,2497.2,High,NO
3170-NMYVV,FEMALE,0,YES,YES,50,3+ years,20.15,930.9,Low,NO
7410-OIEDU,MALE,0,NO,NO,10,0-1 year,79.85,887.35,High,NO
2273-QCKXA,MALE,0,NO,NO,1,0-1 year,49.05,49.05,Medium,NO
0731-EBJQB,FEMALE,0,YES,YES,52,3+ years,20.4,1090.65,Low,NO
1891-QRQSA,MALE,1,YES,YES,64,3+ years,111.6,7099.0,High,NO
8028-PNXHQ,MALE,0,YES,YES,62,3+ years,24.25,1424.6,Low,NO
